Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,2,Graduate,Yes,3786,6033,102,360,0,Rural,Rejected
Female,Yes,0,Graduate,Yes,5311,4139,358,120,0,Rural,Rejected
Female,Yes,3+,Not Graduate,Yes,13932,6601,131,300,1,Semiurban,Approved
Male,Yes,2,Graduate,Yes,7724,792,233,240,1,Urban,Approved
Female,Yes,3+,Graduate,No,11799,5066,491,240,0,Rural,Rejected
Male,Yes,1,Not Graduate,Yes,5314,7098,101,300,1,Semiurban,Approved
Female,Yes,2,Not Graduate,Yes,12480,2187,409,120,0,Rural,Rejected
Male,Yes,3+,Not Graduate,No,11985,5637,335,180,1,Urban,Approved
Male,Yes,2,Not Graduate,No,2584,1728,340,240,0,Rural,Rejected
Female,No,3+,Graduate,No,3787,2020,431,360,1,Rural,Rejected
Female,No,2,Graduate,Yes,9848,4042,96,120,0,Urban,Rejected
Male,No,0,Not Graduate,No,11263,3834,320,240,0,Rural,Rejected
Male,No,2,Graduate,No,8623,1295,282,120,1,Rural,Approved
Male,Yes,2,Graduate,Yes,7626,6246,132,360,0,Rural,Rejected
Female,No,0,Graduate,No,14718,2519,172,120,0,Rural,Rejected
Male,Yes,3+,Graduate,Yes,3603,5404,293,360,0,Semiurban,Rejected
Female,Yes,1,Not Graduate,No,12504,5323,241,300,1,Urban,Approved
Male,Yes,0,Not Graduate,Yes,11138,4537,167,360,0,Urban,Rejected
Male,Yes,1,Graduate,Yes,6913,580,313,180,1,Rural,Approved
Female,Yes,1,Not Graduate,Yes,14355,3874,463,300,0,Urban,Rejected
Male,No,2,Not Graduate,No,9151,7076,423,120,0,Urban,Rejected
Female,No,0,Graduate,Yes,4616,4393,279,180,1,Urban,Approved
Female,No,1,Graduate,No,14738,7056,488,360,0,Urban,Rejected
Male,Yes,1,Graduate,No,9456,3943,159,300,0,Urban,Rejected
Female,Yes,3+,Not Graduate,No,6173,3465,406,360,1,Urban,Rejected
Male,No,1,Graduate,Yes,13754,2569,79,120,1,Rural,Approved
Male,Yes,0,Graduate,Yes,11249,556,395,180,1,Urban,Rejected
Male,Yes,0,Not Graduate,No,5772,1673,392,240,0,Semiurban,Rejected
Female,Yes,2,Not Graduate,No,13818,7665,87,120,1,Rural,Approved
Male,Yes,1,Not Graduate,Yes,7218,7216,85,180,1,Semiurban,Approved
Male,No,2,Graduate,No,12368,848,499,180,1,Urban,Rejected
Male,Yes,2,Not Graduate,Yes,13257,2808,154,240,1,Semiurban,Approved
Male,Yes,3+,Not Graduate,Yes,1558,2732,444,180,1,Urban,Rejected
Female,No,0,Graduate,Yes,12821,7404,126,360,0,Semiurban,Rejected
Male,No,1,Graduate,No,7474,7364,457,120,1,Urban,Rejected
Male,Yes,2,Not Graduate,Yes,5378,7082,133,180,1,Urban,Approved
Male,No,3+,Graduate,No,4108,6450,409,120,1,Urban,Rejected
Female,Yes,1,Not Graduate,No,6500,6721,457,180,0,Urban,Rejected
Male,No,2,Not Graduate,Yes,14170,2286,229,360,1,Rural,Approved
Female,Yes,0,Not Graduate,Yes,11012,7885,185,120,0,Rural,Rejected
Female,No,2,Not Graduate,Yes,7811,7368,345,180,1,Urban,Approved
Female,Yes,1,Not Graduate,No,2646,7773,390,240,1,Rural,Rejected
Male,No,2,Not Graduate,No,8092,5711,201,360,0,Urban,Rejected
Female,No,1,Not Graduate,No,10477,6829,50,240,1,Urban,Approved
Female,No,3+,Not Graduate,No,12569,1750,311,300,0,Rural,Rejected
Male,No,2,Graduate,Yes,12523,2542,165,180,0,Urban,Rejected
Male,Yes,3+,Graduate,No,8290,7259,372,360,0,Rural,Rejected
Female,No,3+,Graduate,Yes,12248,5633,52,120,1,Urban,Approved
Male,No,0,Graduate,Yes,8978,1092,460,300,1,Semiurban,Rejected
Female,No,1,Not Graduate,No,5746,6158,176,240,1,Rural,Approved
Male,No,3+,Graduate,No,5341,2225,221,240,0,Urban,Rejected
Male,Yes,3+,Graduate,Yes,2552,3398,258,240,1,Semiurban,Approved
Male,Yes,3+,Not Graduate,Yes,14043,4716,244,300,0,Semiurban,Rejected
Female,No,3+,Graduate,No,5095,2235,273,300,0,Semiurban,Rejected
Female,No,1,Not Graduate,Yes,11695,4375,63,300,0,Urban,Rejected
Female,Yes,3+,Graduate,Yes,5762,3105,217,180,1,Semiurban,Approved
Female,No,2,Not Graduate,No,2841,3852,59,360,0,Semiurban,Rejected
Male,Yes,0,Graduate,Yes,4766,6874,60,360,0,Urban,Rejected
Male,No,0,Graduate,No,12960,2099,442,240,0,Rural,Rejected
Male,Yes,2,Graduate,Yes,6611,4716,396,300,1,Rural,Rejected
Male,Yes,1,Graduate,No,12710,4918,462,120,0,Semiurban,Rejected
Female,No,0,Not Graduate,Yes,8382,6736,300,120,1,Semiurban,Approved
Female,Yes,3+,Graduate,No,11591,6620,325,300,1,Semiurban,Approved
Female,No,1,Graduate,No,8885,1997,434,300,1,Semiurban,Rejected
Male,No,2,Graduate,No,4975,2906,458,240,1,Semiurban,Rejected
Female,Yes,1,Graduate,Yes,13297,3329,300,360,0,Rural,Rejected
Female,No,3+,Graduate,Yes,6320,1815,257,180,1,Rural,Approved
Female,No,2,Not Graduate,No,7264,5757,282,240,1,Semiurban,Approved
Male,Yes,1,Not Graduate,Yes,13671,4389,440,180,0,Urban,Rejected
Female,No,2,Graduate,Yes,6353,1863,234,180,1,Urban,Approved
Male,No,0,Graduate,No,12926,7733,114,300,0,Urban,Rejected
Female,No,3+,Not Graduate,No,4520,7909,76,240,1,Urban,Approved
Male,No,3+,Graduate,Yes,3985,1222,465,360,1,Urban,Rejected
Male,Yes,3+,Graduate,No,8881,7442,276,240,1,Semiurban,Approved
Male,Yes,1,Graduate,No,12320,665,130,180,0,Rural,Rejected
Male,Yes,0,Not Graduate,No,12794,4864,290,240,0,Urban,Rejected
Female,No,3+,Graduate,Yes,5834,6453,455,360,0,Semiurban,Rejected
Male,Yes,1,Not Graduate,Yes,2669,488,134,240,1,Semiurban,Rejected
Male,No,2,Not Graduate,No,9699,4423,302,300,0,Rural,Rejected
Male,No,2,Not Graduate,Yes,2996,1875,395,360,0,Rural,Rejected
Female,Yes,1,Not Graduate,No,6057,1486,349,300,1,Urban,Approved
Female,No,3+,Not Graduate,No,12479,856,489,180,1,Semiurban,Rejected
Female,No,3+,Graduate,No,2942,2576,179,240,0,Semiurban,Rejected
Male,No,3+,Graduate,Yes,9994,2963,368,300,1,Urban,Rejected
Male,No,1,Not Graduate,No,12940,3970,112,120,0,Rural,Rejected
Male,No,0,Not Graduate,Yes,5181,6892,108,300,0,Rural,Rejected
Male,No,2,Not Graduate,No,9405,3868,174,300,0,Semiurban,Rejected
Male,Yes,0,Not Graduate,No,7068,7653,453,360,1,Urban,Rejected
Female,No,3+,Graduate,No,10324,3967,226,240,1,Semiurban,Approved
Female,Yes,1,Not Graduate,Yes,14206,3365,72,240,1,Rural,Approved
Female,No,1,Not Graduate,Yes,3568,4114,352,240,0,Semiurban,Rejected
Male,No,0,Graduate,No,12227,7945,129,120,1,Semiurban,Approved
Female,No,0,Not Graduate,No,6688,5134,417,300,0,Rural,Rejected
Male,Yes,2,Graduate,Yes,8610,806,439,120,1,Urban,Rejected
Female,Yes,0,Not Graduate,Yes,6306,2936,241,300,0,Urban,Rejected
Female,Yes,1,Graduate,Yes,11485,7133,245,360,0,Semiurban,Rejected
Male,Yes,3+,Not Graduate,No,5683,5462,54,300,1,Rural,Approved
Male,Yes,3+,Not Graduate,No,11968,7880,267,240,1,Semiurban,Approved
Male,No,3+,Graduate,Yes,7748,4685,233,360,1,Rural,Approved
Female,Yes,3+,Not Graduate,Yes,10772,7086,401,120,1,Semiurban,Rejected
Male,No,1,Graduate,No,12604,6189,419,180,0,Rural,Rejected
Male,No,3+,Graduate,No,13498,1076,96,240,1,Rural,Approved
Female,Yes,1,Graduate,No,10197,4110,189,180,1,Semiurban,Approved
Female,No,0,Not Graduate,Yes,3806,6178,165,300,1,Urban,Approved
Female,Yes,2,Graduate,No,7538,5511,433,240,1,Rural,Rejected
Female,Yes,1,Not Graduate,Yes,11650,7243,337,240,0,Rural,Rejected
Male,No,2,Not Graduate,Yes,3790,371,69,240,1,Urban,Approved
Male,Yes,1,Not Graduate,No,7578,5492,430,360,1,Rural,Rejected
Male,No,0,Not Graduate,No,6083,268,403,240,0,Semiurban,Rejected
Female,Yes,2,Graduate,No,10420,7386,380,240,0,Semiurban,Rejected
Female,Yes,0,Not Graduate,Yes,12358,1737,378,360,0,Urban,Rejected
Female,Yes,1,Graduate,Yes,14036,4540,156,360,0,Urban,Rejected
Female,Yes,0,Not Graduate,Yes,3629,4425,178,180,0,Rural,Rejected
Male,Yes,0,Not Graduate,Yes,11147,2652,58,180,1,Urban,Approved
Male,No,0,Graduate,No,8844,6373,235,360,0,Semiurban,Rejected
Male,Yes,2,Not Graduate,Yes,2496,3923,483,300,1,Rural,Rejected
Male,No,3+,Graduate,Yes,6777,4983,125,120,0,Semiurban,Rejected
Female,No,2,Not Graduate,No,3124,6497,409,120,0,Semiurban,Rejected
Female,Yes,3+,Not Graduate,No,8032,3407,423,120,1,Semiurban,Rejected
Female,No,2,Graduate,No,2599,747,475,120,0,Semiurban,Rejected
Male,No,1,Graduate,No,12477,1001,260,240,1,Rural,Approved
Male,No,2,Not Graduate,Yes,10968,4156,158,180,1,Urban,Approved
Male,No,2,Graduate,No,10906,1852,463,300,0,Rural,Rejected
Female,Yes,1,Not Graduate,No,7067,2875,53,180,0,Rural,Rejected
Female,Yes,1,Graduate,Yes,13724,4345,160,300,1,Semiurban,Approved
Female,Yes,2,Not Graduate,No,14227,7712,340,360,0,Urban,Rejected
Male,Yes,0,Graduate,No,8759,5422,267,300,1,Semiurban,Approved
Female,Yes,0,Not Graduate,No,3316,2320,397,360,1,Rural,Rejected
Female,Yes,1,Not Graduate,Yes,1625,1674,204,180,0,Semiurban,Rejected
Female,No,0,Graduate,No,13739,3527,139,180,1,Rural,Approved
Male,No,0,Not Graduate,Yes,8647,153,285,120,1,Rural,Approved
Female,No,3+,Not Graduate,Yes,8136,170,216,180,1,Rural,Approved
Female,Yes,3+,Graduate,Yes,8638,4824,255,360,0,Semiurban,Rejected
Female,No,1,Not Graduate,Yes,2751,4181,374,120,0,Semiurban,Rejected
Female,Yes,1,Graduate,Yes,5693,1616,138,360,0,Rural,Rejected
Male,Yes,3+,Not Graduate,No,12659,7570,339,360,1,Rural,Approved
Female,Yes,3+,Graduate,No,8745,5172,205,240,0,Semiurban,Rejected
Male,No,3+,Not Graduate,Yes,2432,3020,475,240,0,Rural,Rejected
Male,No,3+,Graduate,No,14768,4683,383,180,1,Rural,Rejected
Female,Yes,0,Not Graduate,Yes,14786,7365,478,240,0,Rural,Rejected
Male,Yes,1,Not Graduate,No,10086,4282,362,180,1,Semiurban,Rejected
Female,No,3+,Not Graduate,Yes,14430,5168,381,240,0,Semiurban,Rejected
Male,No,2,Not Graduate,Yes,6961,667,348,180,1,Semiurban,Approved
Female,Yes,0,Not Graduate,No,12042,6485,218,180,0,Rural,Rejected
Female,No,0,Not Graduate,No,4453,7791,159,240,1,Urban,Approved
Male,Yes,1,Graduate,No,14412,828,309,360,0,Rural,Rejected
Female,Yes,3+,Graduate,Yes,4462,6810,404,360,0,Rural,Rejected
Female,Yes,3+,Not Graduate,Yes,8777,5001,195,300,0,Rural,Rejected
Male,No,3+,Graduate,No,12613,7758,342,300,1,Semiurban,Approved
Female,No,1,Graduate,Yes,5596,427,378,300,1,Rural,Rejected
Male,Yes,2,Graduate,Yes,5969,3680,312,180,1,Urban,Approved
Male,No,2,Graduate,No,2372,3247,307,240,0,Semiurban,Rejected
Male,No,1,Graduate,No,3123,6874,415,240,0,Urban,Rejected
Male,No,3+,Graduate,No,8849,5040,52,120,0,Semiurban,Rejected
Male,Yes,3+,Graduate,No,5393,2467,112,120,0,Semiurban,Rejected
Female,Yes,0,Not Graduate,Yes,11853,4221,344,180,0,Semiurban,Rejected
Female,Yes,2,Graduate,No,4568,5442,392,120,1,Urban,Rejected
Male,No,3+,Graduate,No,7616,2077,432,120,1,Urban,Rejected
Female,Yes,0,Not Graduate,Yes,2226,2886,329,240,0,Rural,Rejected
Female,No,1,Graduate,Yes,13231,6358,284,120,1,Urban,Approved
Male,Yes,0,Not Graduate,No,9944,3262,467,360,1,Semiurban,Rejected
Male,Yes,2,Not Graduate,Yes,12243,2719,189,120,1,Semiurban,Approved
Female,No,3+,Not Graduate,Yes,9629,5669,304,240,1,Urban,Approved
Female,Yes,3+,Graduate,No,6762,840,90,240,1,Semiurban,Approved
Female,No,1,Not Graduate,No,8825,346,422,240,1,Semiurban,Rejected
Male,Yes,3+,Not Graduate,Yes,2010,1169,484,360,1,Urban,Rejected
Male,Yes,1,Not Graduate,No,7772,7778,340,120,0,Rural,Rejected
Female,No,2,Not Graduate,Yes,10903,1127,321,240,1,Semiurban,Approved
Female,Yes,0,Graduate,Yes,9676,4241,248,360,0,Semiurban,Rejected
Female,No,1,Not Graduate,No,4779,1004,119,120,1,Urban,Approved
Female,Yes,2,Not Graduate,Yes,10511,4441,198,240,0,Rural,Rejected
Male,No,1,Graduate,Yes,14477,1137,171,300,0,Semiurban,Rejected
Female,No,1,Graduate,Yes,6567,3261,417,300,1,Semiurban,Rejected
Male,Yes,2,Graduate,No,9132,5571,314,240,0,Rural,Rejected
Male,Yes,3+,Graduate,Yes,9988,1253,205,180,0,Semiurban,Rejected
Male,No,2,Graduate,No,4716,5202,332,240,0,Rural,Rejected
Female,Yes,1,Graduate,Yes,12292,5115,418,360,1,Rural,Rejected
Male,Yes,0,Graduate,No,12168,1726,442,360,1,Rural,Rejected
Male,No,2,Not Graduate,No,5512,6592,463,300,1,Semiurban,Rejected
Male,Yes,1,Not Graduate,No,9433,3804,154,240,0,Semiurban,Rejected
Female,No,3+,Graduate,No,9937,4601,104,240,0,Semiurban,Rejected
Male,No,3+,Graduate,Yes,3086,414,198,300,1,Urban,Rejected
Male,No,2,Graduate,Yes,9663,4216,289,300,1,Semiurban,Approved
Male,Yes,3+,Not Graduate,Yes,5024,4778,230,120,0,Semiurban,Rejected
Female,No,2,Graduate,Yes,8560,1097,185,240,1,Semiurban,Approved
Male,No,0,Graduate,No,10564,2364,87,300,1,Rural,Approved
Female,Yes,1,Graduate,No,7614,6511,223,360,1,Urban,Approved
Male,No,0,Graduate,Yes,3745,5845,220,300,1,Urban,Approved
Male,No,2,Graduate,No,11600,6056,481,240,1,Rural,Rejected
Female,No,3+,Graduate,No,6927,5519,106,300,1,Rural,Approved
Male,No,2,Graduate,Yes,11060,3935,137,360,1,Urban,Approved
Male,Yes,0,Graduate,Yes,8725,2569,264,180,1,Rural,Approved
Male,No,3+,Graduate,Yes,9998,1698,337,240,1,Rural,Approved
Female,No,1,Not Graduate,No,10450,2902,396,240,1,Urban,Rejected
Male,No,2,Graduate,No,14134,2367,410,180,1,Semiurban,Rejected
Female,No,2,Not Graduate,Yes,10895,5542,328,300,1,Semiurban,Approved
Male,No,0,Not Graduate,Yes,7174,7569,276,240,1,Urban,Approved
Male,No,2,Graduate,Yes,11587,6069,350,180,0,Urban,Rejected
Male,Yes,0,Graduate,No,6911,5876,291,120,0,Urban,Rejected
Male,No,3+,Not Graduate,Yes,13884,7896,197,240,1,Rural,Approved
Male,Yes,1,Graduate,Yes,8346,7227,478,180,0,Semiurban,Rejected
Female,Yes,2,Graduate,Yes,6388,4652,358,120,1,Semiurban,Rejected
Female,No,1,Not Graduate,No,4659,6625,107,240,0,Rural,Rejected
Female,No,1,Graduate,No,14455,2416,340,180,0,Rural,Rejected
Female,No,2,Graduate,No,12465,781,144,180,1,Semiurban,Approved
Male,Yes,2,Not Graduate,Yes,8819,6174,186,240,1,Rural,Approved
Male,No,2,Graduate,Yes,12441,968,288,240,0,Semiurban,Rejected
Female,Yes,2,Not Graduate,Yes,5090,7842,118,300,0,Semiurban,Rejected
Female,No,3+,Graduate,Yes,12646,6182,355,120,1,Rural,Rejected
Female,Yes,0,Graduate,Yes,10883,4396,126,180,1,Rural,Approved
Female,Yes,1,Not Graduate,Yes,9861,3649,464,120,1,Urban,Rejected
Female,No,0,Not Graduate,No,13350,178,252,240,0,Rural,Rejected
Male,Yes,0,Not Graduate,No,12975,522,327,120,0,Semiurban,Rejected
Male,No,3+,Graduate,Yes,14047,5255,423,300,1,Semiurban,Rejected
Female,No,3+,Graduate,Yes,12207,7047,228,120,0,Rural,Rejected
Female,Yes,1,Graduate,Yes,6388,3792,394,360,1,Rural,Rejected
Female,Yes,1,Not Graduate,No,4041,2258,146,120,0,Rural,Rejected
Female,Yes,1,Graduate,Yes,3153,4865,67,300,0,Urban,Rejected
Male,No,3+,Graduate,Yes,13859,7075,447,120,0,Rural,Rejected
Female,Yes,2,Not Graduate,Yes,6444,7178,123,360,0,Semiurban,Rejected
Female,No,0,Graduate,No,10607,4060,74,240,1,Rural,Approved
Female,No,3+,Graduate,No,7667,1506,436,360,1,Urban,Rejected
Male,No,1,Not Graduate,Yes,10714,3380,263,360,0,Semiurban,Rejected
Male,No,1,Not Graduate,Yes,8869,6939,239,120,0,Urban,Rejected
Female,No,0,Graduate,Yes,14683,6239,350,360,0,Semiurban,Rejected
Male,No,2,Graduate,Yes,4613,7881,429,120,1,Urban,Rejected
Male,No,1,Not Graduate,No,7736,3819,323,240,1,Semiurban,Approved
Female,No,3+,Graduate,No,13978,6879,213,180,1,Semiurban,Approved
Female,Yes,1,Graduate,Yes,5772,4532,349,360,1,Semiurban,Approved
Male,Yes,2,Graduate,No,10835,6826,175,300,1,Semiurban,Approved
Female,No,3+,Graduate,No,4273,1146,418,360,1,Urban,Rejected
Male,Yes,0,Graduate,Yes,8256,1126,481,180,0,Rural,Rejected
Male,Yes,1,Not Graduate,No,2490,5061,376,360,1,Rural,Rejected
Female,Yes,0,Not Graduate,Yes,1774,4336,419,240,1,Urban,Rejected
Female,Yes,0,Graduate,Yes,5448,1572,367,360,1,Semiurban,Rejected
Female,No,0,Not Graduate,No,9020,4628,174,180,1,Rural,Approved
Male,Yes,0,Not Graduate,No,7679,4527,293,120,0,Rural,Rejected
Male,Yes,3+,Not Graduate,No,10770,7028,98,360,0,Urban,Rejected
